date,TSS,CTL,ATL,TSB
2024-03-16,46.5,46.5,46.5,0.0
2024-03-17,163.5,49.3,62.1,-12.8
2024-03-18,0.0,48.1,53.8,-5.7
2024-03-19,105.3,49.4,60.7,-11.2
2024-03-20,53.2,49.5,59.7,-10.1
2024-03-21,12.4,48.7,53.4,-4.7
2024-03-22,101.9,49.9,59.8,-9.9
2024-03-23,11.6,49.0,53.4,-4.4
2024-03-24,131.3,50.9,63.8,-12.8
2024-03-25,0.0,49.7,55.3,-5.5
2024-03-26,121.4,51.4,64.1,-12.7
2024-03-27,7.0,50.4,56.5,-6.1
2024-03-28,0.0,49.2,49.0,0.2
2024-03-29,159.4,51.8,63.7,-11.9
2024-03-30,12.2,50.9,56.8,-6.0
2024-03-31,139.7,53.0,67.9,-14.9
2024-04-01,0.0,51.7,58.8,-7.1
2024-04-02,138.4,53.7,69.4,-15.7
2024-04-03,63.5,54.0,68.6,-14.7
2024-04-04,11.7,53.0,61.0,-8.1
2024-04-05,86.4,53.8,64.4,-10.7
2024-04-06,11.2,52.8,57.3,-4.6
2024-04-07,293.6,58.4,88.8,-30.4
2024-04-08,0.0,57.1,77.0,-19.9
2024-04-09,14.6,56.1,68.7,-12.6
2024-04-10,49.8,55.9,66.2,-10.2
2024-04-11,10.4,54.8,58.7,-3.9
2024-04-12,81.1,55.5,61.7,-6.3
2024-04-13,45.0,55.2,59.5,-4.3
2024-04-14,54.2,55.2,58.8,-3.6
2024-04-15,0.0,53.9,51.0,2.9
2024-04-16,11.3,52.9,45.7,7.2
2024-04-17,71.6,53.3,49.1,4.2
2024-04-18,0.0,52.1,42.6,9.5
2024-04-19,0.0,50.8,36.9,13.9
2024-04-20,82.0,51.6,42.9,8.7
2024-04-21,68.6,52.0,46.3,5.6
2024-04-22,0.0,50.8,40.2,10.6
2024-04-23,11.7,49.8,36.4,13.5
2024-04-24,81.4,50.6,42.4,8.2
2024-04-25,70.8,51.1,46.2,4.9
2024-04-26,89.7,52.0,52.0,0.0
2024-04-27,9.6,51.0,46.3,4.7
2024-04-28,111.0,52.4,54.9,-2.5
2024-04-29,0.0,51.1,47.6,3.5
2024-04-30,0.0,49.9,41.3,8.7
2024-05-01,0.0,48.8,35.8,13.0
2024-05-02,53.5,48.9,38.1,10.7
2024-05-03,113.0,50.4,48.1,2.3
2024-05-04,11.3,49.5,43.2,6.3
2024-05-05,156.7,52.0,58.3,-6.3
2024-05-06,0.0,50.8,50.6,0.2
2024-05-07,11.2,49.8,45.3,4.5
2024-05-08,79.9,50.5,49.9,0.6
2024-05-09,92.1,51.5,55.5,-4.0
2024-05-10,12.4,50.6,49.8,0.8
2024-05-11,120.0,52.2,59.1,-6.9
2024-05-12,5.5,51.1,52.0,-0.9
2024-05-13,0.0,49.9,45.1,4.9
2024-05-14,0.0,48.8,39.1,9.7
2024-05-15,112.2,50.3,48.8,1.4
2024-05-16,0.0,49.1,42.3,6.8
2024-05-17,80.8,49.8,47.4,2.4
2024-05-18,12.0,48.9,42.7,6.2
2024-05-19,99.1,50.1,50.2,-0.1
2024-05-20,0.0,48.9,43.5,5.4
2024-05-21,4.0,47.9,38.3,9.6
2024-05-22,80.8,48.6,43.9,4.7
2024-05-23,9.8,47.7,39.4,8.3
2024-05-24,38.9,47.5,39.3,8.2
2024-05-25,0.0,46.4,34.1,12.3
2024-05-26,191.9,49.8,55.1,-5.3
2024-05-27,0.0,48.7,47.8,0.9
2024-05-28,67.0,49.1,50.3,-1.2
2024-05-29,10.9,48.2,45.1,3.1
2024-05-30,0.0,47.1,39.1,8.0
2024-05-31,78.3,47.8,44.3,3.5
2024-06-01,49.3,47.8,45.0,2.9
2024-06-02,103.4,49.1,52.7,-3.6
2024-06-03,0.0,48.0,45.7,2.3
2024-06-04,12.7,47.1,41.3,5.8
2024-06-05,70.2,47.7,45.2,2.5
2024-06-06,55.5,47.9,46.5,1.3
2024-06-07,75.8,48.5,50.4,-1.9
2024-06-08,10.7,47.6,45.1,2.5
2024-06-09,136.5,49.7,57.3,-7.6
2024-06-10,0.0,48.6,49.7,-1.1
2024-06-11,99.7,49.8,56.3,-6.6
2024-06-12,0.0,48.6,48.8,-0.2
2024-06-13,15.4,47.8,44.4,3.4
2024-06-14,15.2,47.0,40.5,6.5
2024-06-15,16.1,46.3,37.3,9.1
2024-06-16,0.0,45.2,32.3,12.9
2024-06-17,4.5,44.3,28.6,15.7
2024-06-18,12.8,43.5,26.5,17.0
2024-06-19,0.0,42.5,23.0,19.5
2024-06-20,8.0,41.7,21.0,20.7
2024-06-21,35.7,41.6,22.9,18.6
2024-06-22,2.6,40.6,20.2,20.4
2024-06-23,10.1,39.9,18.9,21.0
2024-06-24,15.0,39.3,18.4,21.0
2024-06-25,0.0,38.4,15.9,22.5
2024-06-26,79.6,39.4,24.4,15.0
2024-06-27,10.2,38.7,22.5,16.2
2024-06-28,76.3,39.6,29.7,9.9
2024-06-29,12.5,38.9,27.4,11.6
2024-06-30,0.0,38.0,23.7,14.3
2024-07-01,104.4,39.6,34.5,5.1
2024-07-02,8.1,38.8,31.0,7.9
2024-07-03,100.8,40.3,40.3,0.0
2024-07-04,9.1,39.6,36.1,3.5
2024-07-05,0.0,38.6,31.3,7.3
2024-07-06,0.0,37.7,27.1,10.6
2024-07-07,80.0,38.7,34.2,4.5
2024-07-08,11.0,38.1,31.1,7.0
2024-07-09,12.6,37.5,28.6,8.8
2024-07-10,74.8,38.3,34.8,3.6
2024-07-11,0.0,37.4,30.1,7.3
2024-07-12,88.5,38.6,37.9,0.7
2024-07-13,0.0,37.7,32.9,4.9
2024-07-14,174.2,40.9,51.7,-10.7
2024-07-15,0.0,40.0,44.8,-4.8
2024-07-16,77.9,40.9,49.2,-8.3
2024-07-17,11.9,40.2,44.2,-4.0
2024-07-18,10.8,39.5,39.8,-0.3
2024-07-19,62.8,40.1,42.9,-2.8
2024-07-20,8.2,39.3,38.2,1.1
2024-07-21,87.2,40.4,44.8,-4.3
2024-07-22,0.0,39.5,38.8,0.7
2024-07-23,97.4,40.8,46.6,-5.8
2024-07-24,13.0,40.2,42.1,-1.9
2024-07-25,85.4,41.2,47.9,-6.6
2024-07-26,10.8,40.5,43.0,-2.4
2024-07-27,26.7,40.2,40.8,-0.6
2024-07-28,134.3,42.4,53.2,-10.8
2024-07-29,9.5,41.6,47.4,-5.8
2024-07-30,0.0,40.7,41.1,-0.4
2024-07-31,85.1,41.7,47.0,-5.2
2024-08-01,10.8,41.0,42.1,-1.2
2024-08-02,98.4,42.3,49.6,-7.3
2024-08-03,8.4,41.5,44.1,-2.6
2024-08-04,127.8,43.6,55.3,-11.7
2024-08-05,69.6,44.2,57.2,-13.0
2024-08-06,0.0,43.1,49.6,-6.4
2024-08-07,0.0,42.1,43.0,-0.9
2024-08-08,12.8,41.4,39.0,2.5
2024-08-09,124.9,43.4,50.4,-7.0
2024-08-10,9.6,42.6,45.0,-2.4
2024-08-11,36.2,42.5,43.8,-1.3
2024-08-12,6.7,41.6,38.9,2.7
2024-08-13,0.0,40.6,33.7,6.9
2024-08-14,61.6,41.1,37.4,3.7
2024-08-15,0.0,40.2,32.4,7.7
2024-08-16,0.0,39.2,28.1,11.1
2024-08-17,9.9,38.5,25.7,12.8
2024-08-18,0.0,37.6,22.3,15.4
2024-08-19,0.0,36.7,19.3,17.4
2024-08-20,0.0,35.9,16.7,19.1
2024-08-21,16.2,35.4,16.7,18.7
2024-08-22,124.4,37.5,31.0,6.5
2024-08-23,0.0,36.6,26.9,9.7
2024-08-24,121.6,38.6,39.5,-0.9
2024-08-25,13.1,38.0,36.0,2.0
2024-08-26,56.4,38.4,38.7,-0.2
2024-08-27,13.0,37.8,35.3,2.6
2024-08-28,12.3,37.2,32.2,5.0
2024-08-29,0.0,36.4,27.9,8.4
2024-08-30,157.9,39.2,45.2,-6.0
2024-08-31,10.9,38.6,40.7,-2.1
2024-09-01,136.1,40.9,53.4,-12.5
2024-09-02,0.0,39.9,46.3,-6.4
2024-09-03,6.1,39.1,40.9,-1.8
2024-09-04,72.5,39.9,45.1,-5.2
2024-09-05,137.0,42.2,57.4,-15.2
2024-09-06,10.3,41.4,51.1,-9.7
2024-09-07,153.9,44.1,64.8,-20.7
2024-09-08,0.0,43.0,56.2,-13.1
2024-09-09,122.5,44.9,65.0,-20.1
2024-09-10,12.1,44.1,57.9,-13.8
2024-09-11,121.4,45.9,66.4,-20.4
2024-09-12,0.0,44.9,57.6,-12.7
2024-09-13,52.2,45.0,56.8,-11.8
2024-09-14,10.9,44.2,50.7,-6.5
2024-09-15,157.1,46.9,64.9,-18.0
2024-09-16,9.4,46.0,57.5,-11.5
2024-09-17,0.0,44.9,49.8,-4.9
2024-09-18,14.3,44.2,45.1,-0.9
2024-09-19,0.0,43.2,39.1,4.1
2024-09-20,74.6,43.9,43.8,0.1
2024-09-21,212.3,47.9,66.3,-18.4
2024-09-22,0.0,46.7,57.4,-10.7
2024-09-23,0.0,45.6,49.8,-4.1
2024-09-24,52.7,45.8,50.2,-4.4
2024-09-25,8.8,44.9,44.7,0.3
2024-09-26,83.5,45.8,49.8,-4.0
2024-09-27,0.0,44.8,43.2,1.6
2024-09-28,11.1,44.0,38.9,5.0
2024-09-29,292.9,49.8,72.7,-22.9
2024-09-30,0.0,48.7,63.1,-14.4
2024-10-01,55.6,48.8,62.1,-13.2
2024-10-02,0.0,47.7,53.8,-6.1
2024-10-03,13.3,46.9,48.4,-1.5
2024-10-04,9.2,46.0,43.2,2.8
2024-10-05,10.3,45.1,38.8,6.3
2024-10-06,149.5,47.6,53.5,-6.0
2024-10-07,0.0,46.5,46.4,0.1
2024-10-08,59.4,46.8,48.1,-1.4
2024-10-09,10.1,45.9,43.1,2.8
2024-10-10,91.3,47.0,49.5,-2.5
2024-10-11,0.0,45.9,42.9,3.0
2024-10-12,143.7,48.2,56.3,-8.1
2024-10-13,0.1,47.0,48.8,-1.8
2024-10-14,89.4,48.0,54.2,-6.2
2024-10-15,3.8,47.0,47.5,-0.5
2024-10-16,66.9,47.5,50.1,-2.6
2024-10-17,0.0,46.4,43.4,2.9
2024-10-18,86.3,47.3,49.1,-1.8
2024-10-19,10.4,46.4,44.0,2.4
2024-10-20,154.0,49.0,58.6,-9.7
2024-10-21,51.1,49.0,57.6,-8.6
2024-10-22,12.7,48.2,51.6,-3.5
2024-10-23,0.0,47.0,44.8,2.2
2024-10-24,84.1,47.9,50.0,-2.1
2024-10-25,87.2,48.8,55.0,-6.1
2024-10-26,11.1,47.9,49.1,-1.2
2024-10-27,151.4,50.4,62.7,-12.4
2024-10-28,0.0,49.2,54.4,-5.2
2024-10-29,45.1,49.1,53.1,-4.1
2024-10-30,10.0,48.2,47.4,0.8
2024-10-31,71.1,48.7,50.6,-1.9
2024-11-01,0.0,47.6,43.8,3.7
2024-11-02,207.5,51.3,65.6,-14.3
2024-11-03,12.0,50.4,58.5,-8.1
2024-11-04,45.8,50.3,56.8,-6.5
2024-11-05,11.4,49.4,50.7,-1.4
2024-11-06,107.5,50.7,58.3,-7.6
2024-11-07,0.0,49.5,50.5,-1.0
2024-11-08,13.4,48.7,45.6,3.1
2024-11-09,63.9,49.1,48.0,1.0
2024-11-10,163.5,51.7,63.4,-11.7
2024-11-11,0.0,50.5,55.0,-4.4
2024-11-12,9.9,49.6,49.0,0.6
2024-11-13,37.1,49.3,47.4,1.9
2024-11-14,0.0,48.1,41.1,7.0
2024-11-15,97.8,49.3,48.6,0.7
2024-11-16,66.1,49.7,51.0,-1.3
2024-11-17,142.5,51.9,63.1,-11.3
2024-11-18,0.0,50.6,54.7,-4.1
2024-11-19,0.0,49.5,47.4,2.0
2024-11-20,11.5,48.6,42.7,5.9
2024-11-21,14.9,47.8,39.0,8.8
2024-11-22,13.9,47.0,35.6,11.3
2024-11-23,10.0,46.1,32.2,13.9
2024-11-24,96.7,47.3,40.8,6.5
2024-11-25,0.0,46.2,35.4,10.8
2024-11-26,52.0,46.3,37.6,8.7
2024-11-27,5.3,45.4,33.3,12.1
2024-11-28,0.0,44.3,28.9,15.4
2024-11-29,58.7,44.6,32.8,11.8
2024-11-30,5.2,43.7,29.2,14.5
2024-12-01,151.8,46.2,45.5,0.8
2024-12-02,0.0,45.2,39.4,5.7
2024-12-03,76.9,45.9,44.4,1.5
2024-12-04,8.6,45.0,39.6,5.4
2024-12-05,85.8,46.0,45.8,0.2
2024-12-06,99.2,47.2,52.9,-5.7
2024-12-07,138.7,49.4,64.3,-14.9
2024-12-08,5.3,48.3,56.5,-8.1
2024-12-09,0.0,47.2,48.9,-1.7
2024-12-10,113.3,48.8,57.5,-8.7
2024-12-11,107.5,50.1,64.2,-14.0
2024-12-12,0.0,49.0,55.6,-6.7
