date,time,Unknown,calcium,calories,carbs,cholesterol,fat,fiber,iron,monounsaturated fat,polyunsaturated fat,potassium,protein,saturated fat,sodium,sugar,vitamin_c
2024-03-29,13:47:00,,464.5,403.45,29.29,22.5,20.925,2.8,2.541,8.5405,0.153,242.5,27.585,6.4695,452.2,3.195,0
2024-03-29,14:51:00,,720.887,1018.89,83.3398,0,57.7955,7.89725,9.70921,5.52,1.2098,1296.34,52.1502,1.19275,992.893,2.94055,27.492
2024-03-29,20:08:00,,500,612.4,38.93,0,38.05,4,0.09,0.045,0.17,50,31.8,13.655,254.85,2.85,0
2024-03-30,09:04:00,,0,368.637,16.8222,246,23.3857,0,0,2.94,1.08,88,23.9767,1.98,86.048,0.66,0
2024-03-30,12:52:00,,0,331.5,27,0,20.7,0,0,0,0,0,7.05,0,0,0,0
2024-03-30,16:40:00,,1.5,944.6,83.09,0,46.4,6.95,0.675,2,0.4,100,35.94,24.08,5958.8,1.24,0.33
2024-03-30,22:02:00,,0,537,25.57,0,24.87,0.65,0,0,0,0.3,52.37,7.39,300.327,0.65,0
2024-03-31,08:38:00,,0,365,30.65,0,5.15,6,0,1.75,1.8,0,50.8,1.3,0.3565,1.1,0
2024-03-31,12:59:00,,0242.5,1981046.67,21.455,052.95,2.560,1.37,00.1935,011.575,02.865,0752.925,2258.94,0.69,600444.948,0.920,015.3
2024-03-31,20:38:00,,0,760,58.5,52.5,24.25,4.5,0,0,0,0,33.25,7.5,1260,6.75,0
2024-04-01,05:36:00,,21.6945,248.738,21.001,0,14.2335,2.565,0.39042,6.92587,1.08892,255.244,11.026,1.86156,235.749,13.871,35.1
2024-04-01,19:09:00,,113.271,870.254,95.3771,204.043,27.8969,8.0956,4.4671,5.99405,11.7743,1122.06,56.9711,4.77225,1525.43,8.65,24.4962
2024-04-02,07:40:00,,91.6,485.2,17,13.8,28.752,2.44,1.05,2.9428,1.304,312,38.948,6.6824,1039.12,4.24,0
2024-04-02,19:07:00,,36.66,778.733,56.6825,88.8604,28.2219,3.70092,2.37202,4.08814,5.61652,646.39,65.1118,5.38028,2325.83,9.68,8.95734
2024-04-02,22:13:00,,193.96,803.777,67.9917,88.5525,40.6622,13.0228,6.6854,7.218,5.5958,652.976,46.09,8.5201,1519.11,19.7439,41.2118
2024-04-03,08:17:00,,0,452,43.2,0,25.6,0,0,0,0,0,12,8,0,8,0
2024-04-03,12:21:00,,0,179.4,1.68,0,15,0,0,0,0,0,7.5,1.2,0,0,0
2024-04-03,14:25:00,,0,558,39.25,0,16.75,0,0,0,0,0,65.3,0.35,0,1.75,0
2024-04-03,19:55:00,,0,600,70,0,20,0,0,0,0,0,33.75,0,0,0,0
2024-04-04,06:31:00,,0,249.6,46.15,0,5.73,1.02,0,0,0,0,5.61,0.852,600,16.59,0
2024-04-04,07:51:00,,0,371,40.05,0,6,6.65,0,1.75,1.8,0,40.8,1.35,300.179,1.35,0
2024-04-04,14:23:00,,500,633.1,65.95,0,30.34,3.02,0.09,0.045,0.17,50,21.42,7.175,850,4.66,0
2024-04-04,23:46:00,,505,920.1,61.55,0,35.05,2,0.099,0.045,0.17,189.5,53.3,3.105,256.175,3.5,0
2024-04-05,09:41:00,,0,371,40.05,0,6,6.65,0,1.75,1.8,0,40.8,1.35,300.179,1.35,0
2024-04-05,14:09:00,,32.64,758.886,8.1008,163.68,60.2497,10.03,0.77,9.44872,2.29364,448.72,46.3523,4.35624,68.2348,0.6908,0
2024-04-05,19:33:00,,0,143.4,1.29,0,12.84,0,0,0,0,0,5.49,5.13,0,0,0
2024-04-05,22:39:00,,400,1475.58,75.584,2,81.282,10.218,0.072,14.036,6.036,751,102.888,22.474,1168.17,6.69,18
2024-04-06,08:18:00,,0,307.8,34.96,0,5.62,7.2,0,2.1,2.16,0,31.56,1.21,0.1793,1.04,0
2024-04-06,13:50:00,,247.258,734.362,56.9432,246,40.477,4.3315,6.43081,6.599,1.8072,928.892,44.4668,2.7495,631.262,1.1237,18.328
2024-04-06,20:50:00,,0,770.275,111.45,0,20.021,0,0,0,0,0,37.05,0.009,0,0.26,0
2024-04-07,06:27:00,,0,374,59.52,0,7.88,7.3,0,0.75,0.75,0,11.97,1.41,0.1,13.5,0
2024-04-07,11:44:00,,0,770,125.75,0,7.25,7.3,0,1.75,1.8,0,51.8,1.65,855.179,76.8,0
2024-04-07,14:09:00,,154,1240.4,92.58,107.2,60.38,13.46,0.24192,4.9,11.515,200.7,89.665,0.035,675.9,0,8.1672
2024-04-07,20:22:00,,80.34,508.24,49.7655,53,10.7413,11.004,0.2028,0.0127,0.0343,444.02,48.0132,3.66255,1486.41,8.1701,2.444
2024-04-08,08:12:00,,0,272,29.35,0,4.75,6,0,1.75,1.8,0,29.8,1.05,0.179,0.9,0
2024-04-08,15:59:00,,117,879.6,144.008,0,33.04,16.06,0.36,0.0437,0.188,558.1,19.262,0.0761,4.9,13.565,29.412
2024-04-08,20:28:00,,252.662,408.326,29.964,132.5,11.6563,6.3114,1.11,5.9499,1.11555,1635.16,53.1459,1.2075,2622.88,10.4307,15.9888
2024-04-08,21:34:00,,0,157,12.9,0,10,2.9,0,0,0,0,5.7,0,0.45,0,0
2024-04-09,06:25:00,,0,85,13,0,2.6,1,0,0,0,0,1.5,0.3,120,5.2,0
2024-04-09,13:17:00,,448.2230,666.707327,29.114430,196.4160,41.78964,4.058896,2.049060,1.940831,1.021321,138.2530,45.201742,2.556941,79.67020,8.034671,3.562760
2024-04-09,20:03:00,,0,819.4,71.35,0,47.9,11.4,0,0,0,0,30.65,13,473,9.25,0
2024-04-10,08:22:00,,143.25,378.1,31.938,60,16.58,3.81,0.18,1.66395,1.37325,489.6,25.651,1.52885,952.698,17.1675,81.837
2024-04-10,14:32:00,,148.84,507.851,45.0742,79.5,12.59,2.19702,1.35253,0.1,0.2,901.8,48.757,1.8,1073.41,6.56717,39.2947
2024-04-10,18:49:00,,10,435.6,50.92,7.5,17.22,3.5,0.18,1,0,140,22.24,1.5,210,3,3
2024-04-10,19:21:00,,0,600,70,0,20,0,0,0,0,0,33.75,0,0,0,0
2024-04-11,07:00:00,,23.85,322.097,33.7073,18.2532,17.123,0.468699,0.443449,1.03543,1.90366,132.511,11.4926,5.9386,54.249,15.5576,5.53397
2024-04-11,08:07:00,,0,365,30.65,0,5.15,6,0,1.75,1.8,0,50.8,1.3,0.3565,1.1,0
2024-04-11,14:03:00,,448.223,666.707,29.1144,196.416,41.7896,4.05889,2.04906,1.94083,1.02132,138.253,45.2017,2.55694,79.6702,8.03467,3.56276
2024-04-11,21:59:00,,0,1223.5,73.6,64.4,79.16,2.4,0,21.808,10.016,788,53.22,3.422,420,0,21.6
2024-04-12,08:07:00,,0,365,30.65,0,5.15,6,0,1.75,1.8,0,50.8,1.3,0.3565,1.1,0
2024-04-12,19:57:00,,448.223,666.707,29.1144,196.416,41.7896,4.05889,2.04906,1.94083,1.02132,138.253,45.2017,2.55694,79.6702,8.03467,3.56276
